"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/24/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/25/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/30/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/01/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/02/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/03/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/04/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/05/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/07/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/08/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/09/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/10/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","20","83.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/11/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/12/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/14/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/15/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/16/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/17/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/18/2024","AQS","090030025","1","0.8","ppm","9","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/19/2024","AQS","090030025","1","1","ppm","11","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/24/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","10","42.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/25/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/26/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/27/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/28/2024","AQS","090030025","1","0.6","ppm","7","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/07/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/08/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/09/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/11/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/12/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/22/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/23/2024","AQS","090030025","1","0.3","ppm","3","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/24/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/25/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/26/2024","AQS","090030025","1","0.7","ppm","8","Huntley Place-Hartford","4","17.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/01/2024","AQS","090030025","1","0.4","ppm","5","Huntley Place-Hartford","16","67.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/02/2024","AQS","090030025","1","0.5","ppm","6","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/03/2024","AQS","090030025","1","0.2","ppm","2","Huntley Place-Hartford","24","100.0000","42101","Carbon monoxide","593","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
